image_id,captured_at_utc,captured_at_local,raw_path
2026-04-29/vdd_oval_river_wb_20260429T092724-0700.jpg,2026-04-29T16:27:24Z,2026-04-29T09:27:24-07:00,data/raw/2026-04-29/vdd_oval_river_wb_20260429T092724-0700.jpg
2026-04-29/vdd_oval_river_wb_20260429T105818-0700.jpg,2026-04-29T17:58:18Z,2026-04-29T10:58:18-07:00,data/raw/2026-04-29/vdd_oval_river_wb_20260429T105818-0700.jpg
2026-04-29/vdd_oval_river_wb_20260429T124727-0700.jpg,2026-04-29T19:47:27Z,2026-04-29T12:47:27-07:00,data/raw/2026-04-29/vdd_oval_river_wb_20260429T124727-0700.jpg
